Company Name,Industry,Symbol,Series,ISIN Code,mcURL
Persistent Systems Ltd.,Information Technology,PERSISTENT.NS,EQ,INE262H01013,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE262H01013
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET.NS,EQ,INE347G01014,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE347G01014
Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS,EQ,INE318A01026,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE318A01026
Polycab India Ltd.,Capital Goods,POLYCAB.NS,EQ,INE455K01017,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE455K01017
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA.NS,EQ,INE511C01022,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE511C01022
Power Finance Corporation Ltd.,Financial Services,PFC.NS,EQ,INE134E01011,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE134E01011
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS,EQ,INE752E01010,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE752E01010
Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS,EQ,INE811K01011,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE811K01011
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH.NS,EQ,INE179A01014,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE179A01014
Punjab National Bank,Financial Services,PNB.NS,EQ,INE160A01022,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE160A01022
REC Ltd.,Financial Services,RECLTD.NS,EQ,INE020B01018,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE020B01018
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS,EQ,INE002A01018,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE002A01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS,EQ,INE018E01016,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS,EQ,INE123W01016,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE123W01016
SRF Ltd.,Chemicals,SRF.NS,EQ,INE647A01010,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE647A01010
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS,EQ,INE775A01035,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE775A01035
Shree Cement Ltd.,Construction Materials,SHREECEM.NS,EQ,INE070A01015,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE070A01015
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS,EQ,INE721A01013,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE721A01013
Siemens Ltd.,Capital Goods,SIEMENS.NS,EQ,INE003A01024,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE003A01024
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS,EQ,INE073K01018,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE073K01018
State Bank of India,Financial Services,SBIN.NS,EQ,INE062A01020,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE062A01020
Steel Authority of India Ltd.,Metals & Mining,SAIL.NS,EQ,INE114A01011,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE114A01011
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS,EQ,INE044A01036,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE044A01036
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS,EQ,INE424H01027,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE424H01027
Syngene International Ltd.,Healthcare,SYNGENE.NS,EQ,INE398R01022,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE398R01022
